"","Under18","YA_19to21","Adult_22to44","Adult_45to54","Adult_55to64","Adult_65to74","Adult_75to84","Over84","HCW"
"Under18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"YA_19to21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult_22to44",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult_45to54",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult_55to64",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult_65to74",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult_75to84",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Over84",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HCW",NA,NA,NA,NA,NA,NA,NA,NA,NA
